,ChenChao_PRO,Dave_PRO,Eric_PRO,Ethan_PRO,Khaondo_PRO,Niyilolawa_PRO,Pedro_PRO,Srivathani_PRO
IRF1-AS1,3.95676972590195e-09,5.4713057786405e-06,2.3895688338453e-16,1.60476666366331e-13,2.2524182417791503e-15,6.10554066243486e-10,3.2635795907931097e-12,6.62183921417491e-07
TAP1,1.06309638692244e-27,1.5264583301637102e-14,6.72953217224444e-27,3.03726841633428e-29,4.91515227433981e-37,7.92128624300488e-27,3.06143811800558e-27,4.03414330863644e-24
RNF24,2.4339949038152303e-19,5.96982482438316e-19,2.448619848421e-07,4.30090437951118e-10,3.0778566549803504e-15,4.5704200202719405e-21,1.42515229428204e-13,2.3013361448419e-14
TRIM21,2.42185934277496e-39,1.85216313274567e-21,8.151266240068311e-39,5.92897689634511e-38,6.82848627806521e-43,2.08003735322988e-37,4.85395119847613e-36,1.3868776308582e-34
CHST12,9.770521055211191e-14,2.2955944761592e-05,1.71705605477625e-10,1.33694815187034e-13,9.709803832215331e-21,8.75743854815025e-12,8.50208431851916e-14,1.8919487470778597e-11
HAPLN3,1.17598174168816e-19,9.139006423384181e-09,1.07788766727484e-21,1.64043807680036e-19,2.18298097360348e-22,3.37136199699251e-18,7.18948278062876e-16,1.11422890980148e-13
DBF4B,6.27830774438608e-19,3.84022077887189e-17,3.76831711943067e-13,1.38847980626531e-19,2.59480491996718e-22,1.54833133230578e-21,1.53936323592403e-15,8.19382934600876e-11
IL1RN,6.11266835913426e-18,5.69007741165928e-24,0.0001341824373061,4.70385550814699e-16,8.26693312501037e-15,9.16618490269033e-08,3.6778346537742805e-15,4.03956261149468e-14
UBE2L6,8.03778601589076e-27,2.47081371576623e-20,4.7533518927152895e-33,1.0898332534698101e-35,2.12872049769259e-35,9.70590477914976e-31,4.81698276363729e-28,1.8036899391810698e-28
IFI44L,4.2521685574247605e-09,5.28985876397556e-11,3.0345943542431797e-18,1.45315274575868e-14,8.47816962389031e-06,1.66454181278134e-11,8.76522114920742e-09,7.36978378412909e-07
RUFY4,0.0006620087852596,0.0366213435099162,0.0016958720428215,0.0001688132756656,1.48865514152873e-06,0.0001752710501906,0.0056853506358025,0.0024355647928323
PLEKHG7,2.42827411983095e-33,4.07894302875339e-20,1.7695535318468598e-36,9.85323987427944e-30,2.26254696421767e-23,7.141396746809749e-33,3.88795719620689e-36,1.15226541793317e-19
RBM43,2.40739197232414e-21,3.56142187589992e-18,4.6951145786665204e-15,1.47965627492071e-27,7.15986767472894e-37,1.2748017122612602e-35,5.52697986797286e-18,5.41888652157372e-17
PARP10,9.19567920820262e-13,0.0041387943118923,2.6892157290363897e-11,1.5700592855077602e-14,3.54245367359336e-26,1.75998518927926e-14,3.7300786027939497e-11,2.57230112753609e-09
IRF7,3.08170820587209e-14,4.37308852212936e-07,1.57112840727582e-12,2.5424229399936302e-15,5.77717835039358e-19,2.26509150988663e-13,1.07681050685756e-11,6.51053788915671e-11
TRIM26,2.11196684132536e-16,1.06024127624136e-15,5.130575771630219e-12,6.6628480330383105e-15,8.22547508787564e-22,6.01321909036755e-13,2.69905666572877e-12,1.41251777854174e-10
UNC93B1,6.78359284225902e-24,2.8076774859389302e-21,9.21361678898581e-20,6.518935587090799e-23,1.25492652463568e-27,9.12641658624156e-25,1.3861880407462e-18,6.04770636981467e-17
PARP8,1.05811853204633e-05,0.000736464722056,0.0024052665950763,1.84871381488481e-05,6.57343880450234e-05,5.2640170124782e-07,4.67384065819689e-05,0.0032070103619122
GBP5,1.9798862234968202e-17,3.1871008037316903e-14,1.56318085429261e-14,2.24207364765247e-18,8.43465281487974e-15,1.0454877343532199e-18,4.97051495367061e-21,2.56706271264072e-13
NEXN,1.0976919151123e-05,1.32528601405406e-10,1.4682533920204401e-09,7.72530454032517e-11,2.48649655356253e-07,1.55761866669679e-06,3.07231124499175e-08,0.0185729701486021
BCL2L1-AS1,7.77787746679384e-05,0.0007320546371978,0.0026039113061263,0.0006031087797385,8.78476948714326e-07,2.08789995211618e-05,9.8113635350074e-06,0.0017729137666077
RNF213,6.87434862731324e-11,3.72725799728192e-07,3.25919946372733e-13,8.29713408490729e-12,1.04946706877823e-14,6.38435586290031e-13,1.01869559178328e-12,2.19685565475462e-08
CXCL10,5.47320863273333e-16,1.93420095051129e-08,0.0004130737502903,3.01126225953162e-06,5.04669624315808e-14,6.15461808581105e-10,3.61478278539067e-13,1.1726270950260701e-09
OASL,2.05517896068714e-32,9.21043758974799e-29,4.61609803755422e-39,3.37242419628276e-37,9.720185008172e-43,2.22037705396642e-41,1.02115951628161e-33,9.16956853106777e-33
